msa,zip,county_fips,state,res_ratio
pittsburgh,15088,42003,PA,0.00020447714742351277
pittsburgh,15276,42003,PA,1.5035084369375939e-06
pittsburgh,15006,42003,PA,0.00012779821713969548
pittsburgh,15032,42003,PA,0.00010073506527481878
pittsburgh,15085,42129,PA,0.020838421742123144
pittsburgh,15020,42003,PA,0.00010223857371175638
pittsburgh,15075,42003,PA,9.92315568378812e-05
pittsburgh,15642,42129,PA,0.12226058574061327
pittsburgh,15089,42129,PA,0.01796855918467038
pittsburgh,15282,42003,PA,4.5105253108127814e-06
pittsburgh,15083,42129,PA,0.0022981104425250348
pittsburgh,15321,42125,PA,0.007212178877259752
pittsburgh,15012,42051,PA,0.034413331681328214
pittsburgh,16229,42005,PA,0.06039757679076989
pittsburgh,15028,42003,PA,4.5105253108127814e-06
pittsburgh,15001,42007,PA,0.19946921565698925
pittsburgh,16055,42019,PA,0.040586104982724885
pittsburgh,15038,42125,PA,0.001417697431018078
pittsburgh,16201,42005,PA,0.26149958902858533
pittsburgh,16226,42005,PA,0.12819263904532863
pittsburgh,15613,42005,PA,0.07878474230570184
pittsburgh,15656,42005,PA,0.07117416055283265
pittsburgh,15690,42005,PA,0.049225242777557916
pittsburgh,16262,42005,PA,0.03905750555572468
pittsburgh,16242,42005,PA,0.03166002009193583
pittsburgh,16222,42005,PA,0.031020731224694814
pittsburgh,16249,42005,PA,0.028554902736765198
pittsburgh,16259,42005,PA,0.027946056196535663
pittsburgh,15774,42005,PA,0.0225273219884928
pittsburgh,15673,42005,PA,0.017686991993667998
pittsburgh,16218,42005,PA,0.0164997412402204
pittsburgh,16028,42005,PA,0.016743279856312215
pittsburgh,16210,42005,PA,0.0155864714298761
pittsburgh,16049,42005,PA,0.012998873633900575
pittsburgh,15686,42005,PA,0.012268257785625134
pittsburgh,15618,42005,PA,0.011689853572407075
pittsburgh,16041,42005,PA,0.008310755274133155
pittsburgh,16240,42005,PA,0.00779323571493805
pittsburgh,15736,42005,PA,0.006453773326433073
pittsburgh,16228,42005,PA,0.005570945843100247
pittsburgh,16025,42019,PA,0.02196853015859801
pittsburgh,16212,42005,PA,0.004901214648847758
pittsburgh,16263,42005,PA,0.003653079241377211
pittsburgh,16238,42005,PA,0.003653079241377211
