msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
philadelphia,"American Aerospace Technologies, Inc.",american aerospace technologies,grant_only_company,startup,unknown,CONSHOHOCKEN,PA,19428-2727,False,True,False,False,0.0,1.0,124214.0,0.0,0.0,,,,,,LJ3UWQVTFLB9,168569148,,15,2012,2012,,
philadelphia,American Artificial Larynx Com,american artificial larynx com,grant_only_company,startup,unknown,Paoli,PA,19301,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1991,1991,,
philadelphia,"American Hyperform, Inc",american hyperform,grant_only_company,startup,unknown,Philadelphia,PA,19147-1589,False,True,False,False,0.0,1.0,221363.0,0.0,0.0,,,,,,NKUSN9JGAZJ8,139204010,,2,1986,2021,,
philadelphia,Amriton LLC,amriton,grant_only_company,startup,unknown,Norristown,PA,19403,False,True,False,False,0.0,2.0,900000.0,0.0,0.0,,,,,,V2K6MLMZFNG9,079624035,,1,2015,2017,,
philadelphia,AnCatt Inc.,ancatt,grant_only_company,startup,unknown,Newark,DE,19711-3807,False,True,False,False,0.0,2.0,853807.0,0.0,0.0,,,,,,HNK7U5QFB3T6,078575036,http://www.ancatt.com,3,2015,2016,,
philadelphia,Apollodyne LLC,apollodyne,grant_only_company,startup,unknown,WILMINGTON,DE,19803-2907,False,True,False,False,0.0,2.0,338674.2,0.0,0.0,,,,,,M17XQX4RQ8V6,118974319,http://www.apollodyne.com,2,2024,2025,,
philadelphia,"Apollon, Inc.",apollon,grant_only_company,startup,unknown,Malvern,PA,19355,False,True,False,False,0.0,1.0,74996.0,0.0,0.0,,,,,,,,,,1994,1994,,
philadelphia,Applied Analytic Research,applied analytic research,grant_only_company,startup,unknown,West Chester,PA,19382-5466,False,True,False,False,0.0,2.0,213147.0,0.0,0.0,,,,,,,005704665,,2,2011,2013,,
philadelphia,Applied Cryogenics & Materials,applied cryogenics materials,grant_only_company,startup,unknown,New Castle,DE,19720,False,True,False,False,0.0,0.0,539687.0,0.0,0.0,,,,,,,,,,1983,1984,,
philadelphia,Applied Fluid Sciences Assocs,applied fluid sciences assocs,grant_only_company,startup,unknown,Southeastern,PA,19399,False,True,False,False,0.0,0.0,110684.0,0.0,0.0,,,,,,,,,5,1986,1986,,
philadelphia,Applied Science Corporation,applied science,grant_only_company,startup,unknown,Horsham,PA,19044-3810,False,True,False,False,0.0,1.0,79818.0,0.0,0.0,,,,,,,053927955,,2,2014,2014,,
philadelphia,Applied Technology Genetics,applied technology genetics,grant_only_company,startup,biotech,Malvern,PA,19355,False,True,False,False,0.0,1.0,704582.0,0.0,0.0,,,,,,,,,,1994,1995,,
philadelphia,ApprenNet LLC,apprennet,grant_only_company,startup,unknown,Glenside,PA,19038-7915,False,True,False,False,0.0,3.0,800000.0,0.0,0.0,,,,,,,965612901,www.apprennet.com,5,2011,2014,,
