msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
dallas,"Charles Willis & Associates, I",charles willis associates i,grant_only_company,startup,unknown,Arlington,TX,76013,False,True,False,False,0.0,0.0,49959.0,0.0,0.0,,,,,,,,,10,1993,1993,,
dallas,Chaswood Industries Corp,chaswood industries,grant_only_company,startup,unknown,Flower Mound,TX,00000,False,True,False,False,0.0,0.0,90000.0,0.0,0.0,,,,,,,,,,1998,1998,,
dallas,Checkmate Engineering,checkmate engineering,grant_only_company,startup,unknown,Lewisville,TX,75057,False,True,False,False,0.0,0.0,1167637.0,0.0,0.0,,,,,,,,,,1990,1993,,
dallas,"Cim Systems, Inc.",cim systems,grant_only_company,startup,unknown,Richardson,TX,75080,False,True,False,False,0.0,0.0,1630830.0,0.0,0.0,,,,,,,,,16,1986,1992,,
dallas,"Cirasys, Inc.",cirasys,grant_only_company,startup,unknown,Dallas,TX,75252-0000,False,True,False,False,0.0,2.0,299644.0,0.0,0.0,,,,,,,832340314,www.cirasys.com,4,2010,2014,,
dallas,Clini-therm Corpon,clini therm corpon,grant_only_company,startup,unknown,Dallas,TX,75243,False,True,False,False,0.0,0.0,49620.0,0.0,0.0,,,,,,,,,,1989,1989,,
dallas,"Composites-Consulting, Inc.",composites consulting,grant_only_company,startup,services,Fort Worth,TX,76132 0371,False,True,False,False,0.0,1.0,69943.0,0.0,0.0,,,,,,,018184361,,2,2002,2002,,
dallas,Computer & Information,computer information,grant_only_company,startup,unknown,Denton,TX,76205,False,True,False,False,0.0,0.0,1586513.0,0.0,0.0,,,,,,,,,3,1983,1994,,
dallas,Computer Thought Corp,computer thought,grant_only_company,startup,unknown,Plano,TX,75075,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,10,1987,1987,,
dallas,"Constructive Solutions, Inc.",constructive solutions,grant_only_company,startup,unknown,Dallas,TX,75238,False,True,False,False,0.0,0.0,644370.0,0.0,0.0,,,,,,,,,,1989,1993,,
dallas,Cortex Dynamix LLC,cortex dynamix,grant_only_company,startup,unknown,Grapevine,TX,76051,False,True,False,False,0.0,2.0,1385380.65,0.0,0.0,,,,,,GBLBY7NNTH37,,,3,2025,2025,,
dallas,Custom Scientific,custom scientific,grant_only_company,startup,unknown,Dallas,TX,75214,False,True,False,False,0.0,2.0,2208345.0,0.0,0.0,,,,,,,,,,2003,2005,,
dallas,Cw Aerotech Services,cw aerotech services,grant_only_company,startup,services,Arlington,TX,76013,False,True,False,False,0.0,0.0,54940.0,0.0,0.0,,,,,,,,,,1995,1995,,
dallas,DAIgnostx L.L.C.,daignostx l l c,grant_only_company,startup,unknown,Plano,TX,75093,False,True,True,False,0.0,1.0,306798.0,1.0,306798.0,,,,,,DRHHW7P2EB43,,,3,2025,2025,,
dallas,DATA SECURITY TECHNOLOGIES LLC,data security technologies,grant_only_company,startup,unknown,DALLAS,TX,75252-8004,False,True,True,False,0.0,3.0,1226162.0,1.0,252931.0,,,,,,JQ17UZPLVNL5,080232489,,2,2017,2021,,
dallas,"DELSITE BIOTECHNOLOGIES, INC.",delsite biotechnologies,grant_only_company,startup,biotech,IRVING,TX,75038,False,True,False,False,0.0,1.0,888078.0,0.0,0.0,,,,,,,,,,2004,2004,,
dallas,DENTAL DESIGNS OF DALLAS,dental designs of dallas,grant_only_company,startup,unknown,DALLAS,TX,-,False,True,False,False,0.0,2.0,864903.0,0.0,0.0,,,,,,,198879756,,,1990,2010,,
dallas,"DIAGTRONIX, INC.",diagtronix,grant_only_company,startup,unknown,PLANO,TX,75024-,False,True,False,False,0.0,2.0,300000.0,0.0,0.0,,,,,,,965032993,,,2012,2012,,
dallas,DMS-South/Bailey Tool LLC,dms south bailey tool,grant_only_company,startup,unknown,Lancaster,TX,75146-3019,False,True,False,False,0.0,5.0,557823.38,0.0,0.0,,,,,,MNSEYRBH8JM7,055318612,https://www.baileytool.com,30,2012,2020,,
dallas,"DXE, LLC",dxe,grant_only_company,startup,unknown,FLOWER MOUND,TX,75028-1386,False,True,False,False,0.0,1.0,98624.0,0.0,0.0,,,,,,XL6LS825KYR9,782901461,,4,2007,2007,,
dallas,Dallas Optical Systems Inc,dallas optical systems,grant_only_company,startup,unknown,ROCKWALL,TX,75032-6708,False,True,False,False,0.0,8.0,2035930.0,0.0,0.0,,,,,,C5B8XELMYWL5,868448655,,3,2009,2021,,
dallas,"Davis Technologies International, Inc. ",davis technologies international,grant_only_company,startup,biotech,Dallas,TX,75248-4234,False,True,False,False,0.0,4.0,2179243.0,0.0,0.0,,,,,,RCKJMPWF9JR5,603053901,,9,1990,2015,,
dallas,"Decryptor, Inc.",decryptor,grant_only_company,startup,unknown,Richardson,TX,75081-1964,False,True,False,False,0.0,2.0,1934966.0,0.0,0.0,,,,,,YQ3HS28FFEC5,118470250,,6,2024,2025,,
dallas,"Del Norte Technology, Inc.",del norte technology,grant_only_company,startup,unknown,Euless,TX,76040,False,True,False,False,0.0,0.0,52515.0,0.0,0.0,,,,,,,,,65,1995,1995,,
dallas,"Dena Technologies, Inc.",dena technologies,grant_only_company,startup,unknown,Plano,TX,75093-7584,False,True,False,False,0.0,1.0,150000.0,0.0,0.0,,,,,,,969619464,,1,2013,2013,,
dallas,Dynacom Company,dynacom,grant_only_company,startup,unknown,Plano,TX,75023,False,True,False,False,0.0,0.0,84600.0,0.0,0.0,,,,,,,,,,1983,1983,,
dallas,"EASE OF APPROVAL, INC.",ease of approval,grant_only_company,startup,unknown,FRISCO,TX,75035-0177,False,True,False,False,0.0,1.0,49999.0,0.0,0.0,,,,,,UL6UWSU9E3B4,091497671,,1,2022,2022,,
dallas,"ECLECTIC COMPUTING CONCEPTS, INC.",eclectic computing concepts,grant_only_company,startup,unknown,McKinney,TX,75069,False,True,False,False,0.0,3.0,937175.0,0.0,0.0,,,,,,,780528469,,15,1999,2004,,
dallas,EDGETENSOR TECHNOLOGIES INC,edgetensor technologies,grant_only_company,startup,unknown,PLANO,TX,75024-6320,False,True,False,False,0.0,1.0,225000.0,0.0,0.0,,,,,,ZR85SGQHKB85,111348554,http://www.edgetensor.com,10,2020,2020,,
dallas,"ELCARE INNOVATIONS, INC.",elcare innovations,grant_only_company,startup,unknown,Burleson,TX,76028,False,True,False,False,0.0,0.0,99758.0,0.0,0.0,,,,,,,,,,1998,1998,,
dallas,"ELIANCE BIOTECHNOLOGY, INC.",eliance biotechnology,grant_only_company,startup,biotech,DALLAS,TX,75207,False,True,False,False,0.0,1.0,133750.0,0.0,0.0,,,,,,,,,,2002,2002,,
dallas,"ENCORE VISION, INC.",encore vision,grant_only_company,startup,unknown,Fort Worth,TX,76104-5064,False,True,False,True,0.0,1.0,150000.0,0.0,0.0,,,,utsw_known,,,809585461,,0,2012,2012,,
dallas,ENCRYPTOR INC,encryptor,grant_only_company,startup,unknown,PLANO,TX,75093-3604,False,True,False,False,0.0,2.0,1255523.72,0.0,0.0,,,,,,HDN5EX6AFPM8,829360044,http://www.encryptorinc.com,4,2010,2020,,
dallas,ENDEAVOR,endeavor,grant_only_company,startup,unknown,Wilmer,TX,75172,False,True,False,False,0.0,0.0,69966.0,0.0,0.0,,,,,,,,,3,2001,2001,,
dallas,ENGIN-IC INC,engin ic,grant_only_company,startup,unknown,PLANO,TX,75075-8635,False,True,False,False,0.0,16.0,7853675.12,0.0,0.0,,,,,,J4LWTAZLK4Q9,079620882,,18,2015,2024,,
dallas,"ENGINEERING & SOFTWARE CONSULTANTS, LLC",engineering software consultants,grant_only_company,startup,digital_health,PLANO,TX,75093-8203,False,True,False,False,0.0,2.0,1149996.94,0.0,0.0,,,,,,LA2AEB68LK16,134382485,http://www.escinconline.com,9,2021,2023,,
dallas,ENLISENSE LIMITED LIABILITY COMPANY,enlisense liability,grant_only_company,startup,unknown,ALLEN,TX,75013-4703,False,True,False,False,0.0,1.0,242389.0,0.0,0.0,,,,,,M8E8RD7W5FR1,079670482,http://www.enlisense.com/,6,2017,2017,,
dallas,"ENTECH, Inc.",entech,grant_only_company,startup,unknown,Keller,TX,76248 7000,False,True,False,False,0.0,7.0,4386047.0,0.0,0.0,,,,,,,108935420,,6,1984,2007,,
dallas,"ESK THERAPEUTICS, INC",esk therapeutics,grant_only_company,startup,pharma,FORT WORTH,TX,76107-2644,False,True,True,False,0.0,1.0,330169.0,1.0,330169.0,,,,,,GQ27WFNBJ8L3,,,1,2025,2025,,
dallas,"EXIGENT SOLUTIONS, INC.",exigent solutions,grant_only_company,startup,unknown,AUBREY,TX,76227-1998,False,True,False,False,0.0,3.0,1733890.0,0.0,0.0,,,,,,P3QCAAJXMFW4,,https://exig.ai,2,2024,2025,,
dallas,Education Career Alternatives Program (ECAP),education career alternatives program ecap,grant_only_company,startup,biotech,Fort Worth,TX,76161 0217,False,True,False,False,0.0,0.0,59994.0,0.0,0.0,,,,,,,,,,2001,2001,,
dallas,"Epic Sales, Inc. Dba Epic Systems",epic sales dba epic systems,grant_only_company,startup,unknown,Dallas,TX,75243,False,True,False,False,0.0,16.0,14379734.0,0.0,0.0,,,,,,,,,5,1983,2006,,
dallas,Eskay Assoc.,eskay assoc,grant_only_company,startup,unknown,Arlington,TX,76016,False,True,False,False,0.0,0.0,44199.0,0.0,0.0,,,,,,,,,1,1992,1992,,
dallas,"Exodyne Technologies, Inc.",exodyne technologies,grant_only_company,startup,unknown,Fort Worth,TX,76121,False,True,False,False,0.0,0.0,349750.0,0.0,0.0,,,,,,,,,,1991,1993,,
dallas,"Exos Aerospace Systems & Technologies, Inc.",exos aerospace systems technologies,grant_only_company,startup,unknown,GREENVILLE,TX,75402-3606,False,True,False,False,0.0,4.0,2887230.35,0.0,0.0,,,,,,CK24BPZGF854,079874626,http://www.exosaero.com,15,2020,2025,,
dallas,Expert Systems Engineers,expert systems engineers,grant_only_company,startup,unknown,Fort Worth,TX,76180,False,True,False,False,0.0,0.0,97930.0,0.0,0.0,,,,,,,,,5,1985,1987,,
