msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
philadelphia,"PHENOTECH, INC.",phenotech,confirmed_grant,Philadelphia,PA,19104,False,True,False,0.0,1.0,1019040.0,0.0,0.0,,,,,,,http://,0,2006,2006
philadelphia,"PHOENIX S & T, INC.",phoenix s t,confirmed_grant,CHADDS FORD,PA,19317-9708,False,True,False,0.0,3.0,649308.0,0.0,0.0,,,,,CR2EJCWHC4X4,128600546,https://www.phoenix-st.com,2,2005,2019
philadelphia,"PHOTON-X, LLC",photon x,confirmed_grant,Malvern,PA,19355-9355,False,True,False,0.0,8.0,1793416.0,0.0,0.0,,,,,,141952098,,6,1996,2010
philadelphia,"PHOTONICS LABORATORIES, INC.",photonics laboratories,confirmed_grant,Philadelphia,PA,19104,False,True,False,0.0,4.0,1154360.0,0.0,0.0,,,,,,832594352,,7,1999,2001
philadelphia,PIASECKI AIRCRAFT CORP,piasecki aircraft,confirmed_grant,ESSINGTON,PA,19029-1231,False,True,False,0.0,45.0,69171755.26,0.0,0.0,,,,,E11VKLMGHB65,002266609,https://www.piasecki.com,93,1990,2024
philadelphia,"PLAYGROUND CLEARING HOUSE, USA",playground clearing house usa,confirmed_grant,PHOENIXVILLE,PA,19460,False,True,False,0.0,1.0,91500.0,0.0,0.0,,,,,,,,,1992,1992
philadelphia,PLUS DESIGNS INC,plus designs,confirmed_grant,PHOENIXVILLE,PA,19460-2676,False,True,False,0.0,9.0,6790309.42,0.0,0.0,,,,,FFJNXYLLTVZ1,080272855,https://www.plusdesignsinc.com,3,2017,2024
philadelphia,"POLARIS HEALTH DIRECTIONS, INC",polaris health directions,confirmed_grant,WAYNE,PA,19087-1611,False,True,False,0.0,20.0,13190459.0,0.0,0.0,,,,,,143621105,,,2005,2015
philadelphia,POLYGON HEALTH ANALYTICS LLC,polygon health analytics,confirmed_grant,CHALFONT,PA,18914-1337,False,True,True,0.0,2.0,695909.0,2.0,695909.0,,,,,R5VDECUXCB16,,https://polygonhealthanalytics.com,2,2024,2024
philadelphia,"PORTASCIENCE, INC.",portascience,confirmed_grant,MOORESTOWN,NJ,-,False,True,False,0.0,12.0,5706120.0,0.0,0.0,,,,,ZXCSCL58LRB3,009762050,,,2000,2010
philadelphia,"POWERWEB, INC.",powerweb,confirmed_grant,Media,PA,19063,False,True,False,0.0,2.0,1389449.0,0.0,0.0,,,,,,825990823,,6,2006,2007
philadelphia,PREVENTIVE MEDICAL TECHNOLOGIES,preventive medical technologies,confirmed_grant,PHILADELPHIA,PA,19119,False,True,False,0.0,0.0,953346.0,0.0,0.0,,,,,,,,,1998,2000
philadelphia,PRINCETON MICROWAVE TECHNOLOGY INC,princeton microwave technology,confirmed_grant,TRENTON,NJ,08619-1261,False,True,False,0.0,14.0,6234762.0,0.0,0.0,,,,,JELUMD885GE7,796754315,princetonmicrowave.com,6,1993,2019
philadelphia,PRINCETON NUENERGY INC,princeton nuenergy,confirmed_grant,BORDENTOWN,NJ,08505-4200,False,True,False,0.0,2.0,1350000.0,0.0,0.0,,,,,XEZ3LRHYBR43,117338714,,28,2020,2021
philadelphia,PROGENRA INC,progenra,confirmed_grant,MALVERN,PA,19355-1308,False,True,True,0.0,53.0,22552905.0,6.0,1686956.0,,,,,Z3JKMHXHFHJ6,190641816,www.progenra.com,17,2003,2025
philadelphia,PROSERVICES CORP.,proservices,confirmed_grant,Trenton,NJ,08611,False,True,False,0.0,1.0,70000.0,0.0,0.0,,,,,PEEQMYBLACM5,831443465,,2,2003,2003
philadelphia,PROTEIN DESIGN SOLUTIONS LLC,protein design solutions,confirmed_grant,PHILADELPHIA,PA,19122-1650,False,True,False,0.0,1.0,274640.0,0.0,0.0,,,,,T5J3UF8J6C63,,,1,2024,2024
philadelphia,"PTI RESEARCH, INC.",pti research,confirmed_grant,EXTON,PA,19341,False,True,False,0.0,2.0,2891533.0,0.0,0.0,,,,,,,,,1999,2006
philadelphia,"PULSENTRY, INC.",pulsentry,confirmed_grant,WILMINGTON,DE,19801-1120,False,True,False,0.0,1.0,199990.0,0.0,0.0,,,,,,,,3,2012,2012
philadelphia,"PURESYN, INC.",puresyn,confirmed_grant,MALVERN,PA,19355,False,True,False,0.0,3.0,2498427.0,0.0,0.0,,,,,R8BHJLTPSP64,,,,1997,2003
philadelphia,Panam 3D LLC,panam 3d,confirmed_grant,Erwinna,PA,18920-9249,False,True,False,0.0,1.0,49961.0,0.0,0.0,,,,,VXEWFX9B7A56,,,3,2021,2021
philadelphia,Paradigm Surgical LLC,paradigm surgical,confirmed_grant,Philadelphia,PA,19146,False,True,True,0.0,4.0,2192592.0,2.0,1499576.0,,,,,KUDAYJK9M7K7,079540864,,1,2017,2020
philadelphia,Parsortix Inc,parsortix,confirmed_grant,Philadelphia,PA,19103-2929,False,True,False,0.0,1.0,150000.0,0.0,0.0,,,,,,,,4,2010,2010
philadelphia,Pathfinder Inc,pathfinder,confirmed_grant,Cherry Hill,NJ,08034,False,True,False,0.0,0.0,48500.0,0.0,0.0,,,,,,,,25,1990,1990
philadelphia,"Pathway Technologies, Inc",pathway technologies,confirmed_grant,Blue Bell,PA,19422,False,True,False,0.0,1.0,351825.0,0.0,0.0,,,,,,,,3,2000,2001
philadelphia,"Performance Controls, Inc",performance controls,confirmed_grant,Horsham,PA,19044,False,True,False,0.0,0.0,99821.0,0.0,0.0,,,,,,,,,1998,1998
philadelphia,Peroxitech LLC,peroxitech,confirmed_grant,Philadelphia,PA,19146,False,True,True,0.0,2.0,599797.0,3.0,899663.0,,,,,DLZMEK3YBM49,080303926,,1,2020,2022
philadelphia,Petrelli Research,petrelli research,confirmed_grant,Newark,NJ,07102,False,True,False,0.0,0.0,69147.0,0.0,0.0,,,,,,,,1,1994,1994
philadelphia,"Pharmabridge, Inc.",pharmabridge,confirmed_grant,Doylestown,PA,18902,False,True,False,0.0,2.0,3240146.0,0.0,0.0,,,,,,787949390,http://pharmabridgegroup.com/,4,2008,2011
philadelphia,"Pharmagrow, Inc.",pharmagrow,confirmed_grant,Langhorne,PA,19047,False,True,False,0.0,1.0,75000.0,0.0,0.0,,,,,,,,,2003,2003
philadelphia,PhaseBio Pharmaceuticals Inc ,phasebio pharmaceuticals,confirmed_grant,MALVERN,PA,19355-1423,False,True,False,0.0,6.0,3687390.0,0.0,0.0,,,,,MLJSHGTEWU43,126104244,www.phasebio.com,20,2003,2018
philadelphia,Phospho-energetics Inc.,phospho energetics,confirmed_grant,Philadelphia,PA,19104,False,True,False,0.0,0.0,1433943.0,0.0,0.0,,,,,,,,,1983,1987
philadelphia,"Photonics, Inc.",photonics,confirmed_grant,Gladwyne,PA,19035,False,True,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,8,1992,1992
