msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,ATLANTA ANALYTICS LLC,atlanta analytics,grant_only_company,startup,unknown,ATLANTA,GA,30306-2234,False,True,False,False,0.0,1.0,268580.0,0.0,0.0,,,,,,NHUXQKUEQMR8,,,1,2023,2023,,
atlanta,"ATLANTIC PHARMACEUTICALS, INC.",atlantic pharmaceuticals,grant_only_company,startup,pharma,DULUTH,GA,30097 4329,False,True,False,False,0.0,2.0,198462.0,0.0,0.0,,,,,,,193233017,,,2007,2007,,
atlanta,"AUDIOT, INC.",audiot,grant_only_company,startup,unknown,Atlanta,GA,30318-5602,False,True,False,False,0.0,1.0,274763.0,0.0,0.0,,,,,,L95GKN1HMNK3,117167198,Https://Www.audiot.ai,2,2024,2024,,
atlanta,"AURAZYME PHARMACEUTICALS, INC.",aurazyme pharmaceuticals,grant_only_company,startup,pharma,MARIETTA,GA,30067,False,True,False,False,0.0,2.0,460983.0,0.0,0.0,,,,,,,,,,2002,2003,,
atlanta,"AXONA, INC.",axona,grant_only_company,startup,unknown,ATLANTA,GA,30308,False,True,False,False,0.0,1.0,187907.0,0.0,0.0,,,,,,,199114583,,,2007,2007,,
atlanta,"Abj Integration Technologies,",abj integration technologies,grant_only_company,startup,unknown,Atlanta,GA,30350,False,True,False,False,0.0,0.0,225351.0,0.0,0.0,,,,,,,,,2,1993,1997,,
atlanta,Accelereyes LLC,accelereyes,grant_only_company,startup,unknown,Atlanta,GA,30305-1512,False,True,True,False,0.0,8.0,5328836.0,1.0,146389.0,,,,,,DPKMLZM47HL8,827568226,https://arrayfire.com,10,2010,2018,,
atlanta,Accuhealth Technologies,accuhealth technologies,grant_only_company,startup,unknown,Atlanta,GA,30327,False,True,True,False,0.0,2.0,2324871.0,3.0,2324871.0,,,,,,R329HZ5JM4K8,078671388,,6,2021,2022,,
atlanta,"Adaptronics, Inc.",adaptronics,grant_only_company,startup,unknown,Marietta,GA,30062,False,True,False,False,0.0,0.0,136210.0,0.0,0.0,,,,,,,,,4,1994,1995,,
atlanta,Adeptdc Co.,adeptdc,grant_only_company,startup,unknown,Atlanta,GA,30318-5713,False,True,False,False,0.0,1.0,150000.0,0.0,0.0,,,,,,,079601400,,1,2015,2015,,
atlanta,Advanced Engineered,advanced engineered,grant_only_company,startup,unknown,Marietta,GA,30062,False,True,False,False,0.0,0.0,70000.0,0.0,0.0,,,,,,,,,,1995,1995,,
atlanta,"Aeris Water Technologies, LLC",aeris water technologies,grant_only_company,startup,unknown,Atlanta,GA,30309,False,True,False,False,0.0,1.0,304996.0,0.0,0.0,,,,,,H5HTLMLUBGG1,119172725,https://aeriswatertech.com,2,2025,2025,,
atlanta,"Aerotonomy, Incorporated",aerotonomy,grant_only_company,startup,unknown,LITHIA SPRINGS,GA,30122 1546,False,True,False,False,0.0,14.0,4386157.0,0.0,0.0,,,,,,,170566918,,9,2005,2010,,
atlanta,Altea Therapeutics Corporation,altea therapeutics,grant_only_company,startup,pharma,Tucker,GA,30084,False,True,False,False,0.0,4.0,1577173.0,0.0,0.0,,,,,,,,,,2000,2005,,
atlanta,American Combustion Inc,american combustion,grant_only_company,startup,unknown,Norcross,GA,30071,False,True,False,False,0.0,0.0,100000.0,0.0,0.0,,,,,,,,,,1987,1988,,
