msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Mt McKinley Medical Holding Corp USA,mt mckinley medical holding usa,operating_company,startup,biotech,KENNESAW,GA,30152,Biotechnology,,,1923647.0,,,,,,,,,6,2021.0
atlanta,True,False,False,False,5.0,0.0,0.0,0.0,0.0,"NantiBodyFc, LLC",nantibodyfc,operating_company,startup,biotech,CUMMING,GA,30041,Other Health Care,,,1661957.0,,,,,,,,,6,2015.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Nyra Medical, Inc.",nyra medical,operating_company,startup,biotech,DECATUR,GA,30033,Biotechnology,,,1955347.0,,,,,,,,,6,2018.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"OXOS MEDICAL, INC.",oxos medical,operating_company,startup,biotech,ATLANTA,GA,30309,Biotechnology,,,1694304.0,,,,,,,,,6,2016.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Phytest Diagnostics, LLC",phytest diagnostics,operating_company,startup,diagnostics,ATLANTA,GA,30328,Pharmaceuticals,,,1990163.0,,,,,,,,,6,2022.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"PiVista Therapeutics, Inc.",pivista therapeutics,operating_company,startup,pharma,DECATUR,GA,30033,Other Health Care,,,1877091.0,,,,,,,,,6,2021.0
atlanta,True,False,False,False,16.0,0.0,0.0,0.0,0.0,"RCE Technologies, Inc.",rce technologies,operating_company,startup,biotech,DECATUR,GA,30030,Biotechnology,,,1791860.0,,,,,,,,,6,2018.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Stem Biotech LLC,stem biotech,operating_company,startup,biotech,KENNESAW,GA,30152,Biotechnology,,,1800964.0,,,,,,,,,6,2019.0
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"Surterra Holdings, Inc./DE",surterra de,operating_company,startup,pharma,ATLANTA,GA,30361,Pharmaceuticals,,,1749034.0,,,,,,,,,6,2018.0
atlanta,True,False,False,False,21.0,0.0,0.0,0.0,0.0,TendoNova Corp,tendonova,operating_company,startup,biotech,ATLANTA,GA,30306,Biotechnology,,,1774275.0,,,,,,,,,6,2017.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"TopoDx, Inc.",topodx,operating_company,startup,biotech,ATLANTA,GA,30313,Biotechnology,,,2075590.0,,,,,,,,,6,2024.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Vitaltechhub INC,vitaltechhub,operating_company,startup,biotech,Suwanee,GA,30024,Biotechnology,,,1838886.0,,,,,,,,,6,2020.0
atlanta,False,True,True,False,0.0,3.0,1805827.0,4.0,2805824.0,Cambium Oncology LLC,cambium oncology,grant_only_company,startup,biotech,Atlanta,GA,30306-3602,Biotechnology,,,,FD2YFTNRQMK8,116764675,Https://www.cambiumoncology.com,3.0,2024.0,2025.0,,,5,
atlanta,False,True,True,False,0.0,15.0,9891310.0,9.0,4474278.0,"EXPRESSION THERAPEUTICS, LLC",expression therapeutics,grant_only_company,startup,pharma,TUCKER,GA,30084-5709,Pharmaceuticals,,,,PBQBKK5QY571,361719755,https://www.expressiontherapeutics.com,18.0,2006.0,2025.0,,,5,
