msa,quarter,industry,company,CIK,STREET1,city,state,zip,ENTITYTYPE,JURISDICTIONOFINC,ACCESSIONNUMBER
philadelphia,2015q1,Other Health Care,"Trice Medical, Inc.",0001542869,"1000 CONTINENTAL DRIVE, STE. 240",king of prussia,PA,19406,Corporation,DELAWARE,0001542869-15-000001
philadelphia,2015q1,Pharmaceuticals,HealthMed Corp,0001630968,250 CENTRAL AVE,newark,NJ,07103,Corporation,DELAWARE,0001630968-15-000002
baltimore,2015q1,Biotechnology,"Breethe, Inc.",0001631734,1101 W. PRATT STREET,baltimore,MD,21201,Corporation,DELAWARE,0001631734-15-000002
dallas,2015q1,Other Health Care,"Syntilla Medical, LLC",0001600314,4516 LOVERS LANE,dallas,TX,75225,Limited Liability Company,TEXAS,0001600314-15-000001
philadelphia,2015q1,Other Health Care,"VirMedica, Inc.",0001631152,708 MERCERS MILL LANE,west chester,PA,19382,Corporation,DELAWARE,0001631152-15-000001
philadelphia,2015q1,Pharmaceuticals,HealthMed Corp,0001630968,250 CENTRAL AVE,newark,NJ,07103,Corporation,DELAWARE,0001630968-15-000001
atlanta,2015q1,Biotechnology,CORMATRIX CARDIOVASCULAR INC,0001434206,1100 Old Ellis Road,roswell,GA,30076,Corporation,GEORGIA,0001434206-15-000001
pittsburgh,2015q1,Other Health Care,Rijuven Corp.,0001555522,"WEXFORD TOWN CENTER, SUITE 104",wexford,PA,15090,Corporation,DELAWARE,0001555522-15-000001
pittsburgh,2015q1,Biotechnology,Brainstage Inc,0001408264,215 Park Road,carnegie,PA,15206,Corporation,DELAWARE,0001408264-15-000002
dallas,2015q1,Pharmaceuticals,"Neos Therapeutics, Inc.",0001467652,2940 N. HIGHWAY 360,grand prairie,TX,75050,Corporation,DELAWARE,0001467652-15-000001
philadelphia,2015q1,Pharmaceuticals,"QR Pharma, Inc.",0001477845,"1055 WESTLAKES DRIVE, SUITE 300",berwyn,PA,19312,Corporation,DELAWARE,0001477845-15-000001
philadelphia,2015q2,Pharmaceuticals,Gladius Pharmaceuticals Corp,0001646819,"2711 CENTERVILLE RD., SUITE 400",wilmington,DE,19808,Corporation,DELAWARE,0001144204-15-040067
baltimore,2015q2,Biotechnology,"Sonavex, Inc.",0001645892,810 WYMAN PARK DRIVE,baltimore,MD,21211,Corporation,DELAWARE,0001645892-15-000001
dallas,2015q2,Other Health Care,"Averify, LLC",0001645725,3333 LEE PARKWAY,dallas,TX,75219,Limited Liability Company,TEXAS,0001645725-15-000007
dallas,2015q2,Other Health Care,"Averify, LLC",0001645725,3333 LEE PARKWAY,dallas,TX,75219,Limited Liability Company,TEXAS,0001645725-15-000006
dallas,2015q2,Other Health Care,"Averify, LLC",0001645725,3333 LEE PARKWAY,dallas,TX,75219,Limited Liability Company,TEXAS,0001645725-15-000005
dallas,2015q2,Other Health Care,"Averify, LLC",0001645725,3333 LEE PARKWAY,dallas,TX,75219,Limited Liability Company,TEXAS,0001645725-15-000004
baltimore,2015q2,Biotechnology,"Sonify Biosciences, LLC",0001646123,1209 N. CHARLES STREET,baltimore,MD,21201,Limited Liability Company,MARYLAND,0001144204-15-039602
dallas,2015q2,Other Health Care,"Houston Northwest Operating Company, L.L.C.",0001411202,1445 ROSS AVENUE,dallas,TX,75202,Limited Liability Company,TEXAS,0001411202-15-000003
philadelphia,2015q2,Other Health Care,"Genomind, Inc.",0001604902,100 HIGHPOINT DRIVE,chalfont,PA,18914,Corporation,DELAWARE,0001604902-15-000002
dallas,2015q2,Biotechnology,Bone Solutions Inc,0001335451,"10,000 N CENTRAL EXPRESSWAY",dallas,TX,75231,Corporation,TEXAS,0001335451-15-000001
philadelphia,2015q2,Other Health Care,Quality Care Dialysis LLC,0001568203,12 PENNS TRAIL,newtown,PA,18940,Limited Liability Company,DELAWARE,0001568203-15-000004
baltimore,2015q2,Biotechnology,"Gemstone BioTherapeutics, LLC",0001644667,"810 WYMAN PARK DRIVE, SUITE 400A",baltimore,MD,21211,Limited Liability Company,MARYLAND,0001014100-15-000017
atlanta,2015q2,Biotechnology,"Celtaxsys, Inc.",0001334381,201 17th Street,atlanta,GA,30363,Corporation,DELAWARE,0001334381-15-000002
pittsburgh,2015q2,Pharmaceuticals,Complexa Inc.,0001551369,2425 SIDNEY STREET,pittsburgh,PA,15203,Corporation,DELAWARE,0001551369-15-000001
dallas,2015q2,Other Health Care,"HER Technologies, Inc.",0001555904,13428 HUGHES LANE,dallas,TX,75240,Corporation,DELAWARE,0000909143-15-000035
pittsburgh,2015q2,Biotechnology,"Cernostics, Inc.",0001474724,235 William Pitt Way,pittsburgh,PA,15238,Corporation,DELAWARE,0001474724-15-000002
philadelphia,2015q2,Pharmaceuticals,"QR Pharma, Inc.",0001477845,"1055 WESTLAKES DRIVE, SUITE 300",berwyn,PA,19312,Corporation,DELAWARE,0001477845-15-000002
baltimore,2015q2,Biotechnology,Personal Genome Diagnostics Inc.,0001530958,2809 BOSTON STREET,baltimore,MD,21224,Corporation,MARYLAND,0001015325-15-000013
atlanta,2015q2,Other Health Care,"Sebacia, Inc.",0001493716,2905 Premiere Parkway,duluth,GA,30097,Corporation,DELAWARE,0001493716-15-000001
dallas,2015q2,Pharmaceuticals,PLASMATECH BIOPHARMACEUTICALS INC,0000318306,4848 Lemmon Avenue,dallas,TX,75219,Corporation,DELAWARE,0001140361-15-022662
dallas,2015q2,Biotechnology,"Brighton Biotech, Inc.",0001625381,FORT WORTH CLUB BLDG.,fort worth,TX,76102,Corporation,DELAWARE,0001625381-15-000002
atlanta,2015q2,Other Health Care,PERIMETER CENTER FOR OUTPATIENT SURGERY LP,0001160740,1140 HAMMOND DRIVE,atlanta,GA,30328,Limited Partnership,GEORGIA,0001160740-15-000002
philadelphia,2015q2,Other Health Care,"Encore Dermatology, Inc.",0001643309,5 GREAT VALLEY PARKWAY,malvern,PA,19355,Corporation,DELAWARE,0001643309-15-000001
atlanta,2015q2,Other Health Care,"Orthovestments, LLC",0001643182,200 COBB PLACE BLVD,marietta,GA,30062,Limited Liability Company,GEORGIA,0001643182-15-000001
dallas,2015q2,Pharmaceuticals,PLASMATECH BIOPHARMACEUTICALS INC,0000318306,2600 N STEMMONS FRWY,dallas,TX,75207,Corporation,DELAWARE,0001140361-15-021514
philadelphia,2015q2,Biotechnology,BioTraceIT Corp,0001642043,1518 WALNUT ST SUITE 1002,philadelphia,PA,19102,Corporation,NEW YORK,0001642043-15-000001
baltimore,2015q2,Other Health Care,"Senior's Benefit Resources, Inc.",0001643114,114 SOUTH CROSS STREET,chestertown,MD,21620,Corporation,MARYLAND,0001643114-15-000001
dallas,2015q2,Other Health Care,"Prana Essentials, Inc.",0001642094,5605 N. MACARTHUR BLVD.,irving,TX,75038,Corporation,DELAWARE,0001642094-15-000001
philadelphia,2015q2,Pharmaceuticals,"ProstaGene, LLC",0001635915,901 NORTH PENN STREET,philadelphia,PA,19123,Limited Liability Company,DELAWARE,0001635915-15-000002
philadelphia,2015q2,Other Health Care,"Intact Vascular, Inc.",0001557120,"150 STRAFFORD AVENUE, #303",wayne,PA,19087,Corporation,DELAWARE,0001557120-15-000002
dallas,2015q2,Other Health Care,"LDL Dignity Hospice, LP",0001642505,"8330 LBJ FREEWAY, SUITE 500",dallas,TX,75243,Limited Partnership,TEXAS,0001162677-15-000036
pittsburgh,2015q2,Biotechnology,ALUNG TECHNOLOGIES INC,0001179295,2500 JANE STREET,pittsburgh,PA,15203,Corporation,PENNSYLVANIA,0001179295-15-000002
baltimore,2015q2,Biotechnology,"Cordex Systems, Inc",0001642403,415 FOURTH STREET,annapolis,MD,20815,Corporation,MARYLAND,0001642403-15-000001
atlanta,2015q2,Other Health Care,"PURSUANT HEALTH, INC.",0001412720,780 JOHNSON FERRY ROAD,atlanta,GA,30342,Corporation,DELAWARE,0001412720-15-000002
dallas,2015q2,Other Health Care,"GenTox Labs, LLC",0001642315,610 COIT ROAD,plano,TX,75075,Limited Liability Company,LOUISIANA,0001642315-15-000001
atlanta,2015q2,Pharmaceuticals,UCB S.A.,0001290640,"C/O UCB, INC.",smyrna,GA,30080,Corporation,BELGIUM,0001290640-15-000004
pittsburgh,2015q2,Biotechnology,"SkinJect, Inc.",0001640615,215 PARK ROAD,pittsburgh,PA,15106,Corporation,PENNSYLVANIA,0001640615-15-000001
pittsburgh,2015q2,Biotechnology,ALUNG TECHNOLOGIES INC,0001179295,2500 JANE STREET,pittsburgh,PA,15203,Corporation,PENNSYLVANIA,0001179295-15-000001
dallas,2015q2,Other Health Care,"Brain Synergy Institute, LLC",0001571030,105 Decker Court,irving,TX,75062,Limited Liability Company,TEXAS,0001571030-15-000004
dallas,2015q2,Other Health Care,"Brain Synergy Institute, LLC",0001571030,105 Decker Court,irving,TX,75062,Limited Liability Company,TEXAS,0001571030-15-000003
philadelphia,2015q2,Other Health Care,"Neuronetics, Inc.",0001227636,3222 Phoenixville Pike,malvern,PA,19355,Corporation,DELAWARE,0001192482-15-000173
baltimore,2015q2,Biotechnology,Biomedica Management Corp,0001641333,"1448 SOUTH ROLLING RD., #123",halethorpe,MD,21227,Corporation,NEW YORK,0001641333-15-000002
baltimore,2015q2,Biotechnology,Biomedica Management Corp,0001641333,"1448 SOUTH ROLLING RD., #123",halethorpe,MD,21227,Corporation,NEW YORK,0001641333-15-000001
philadelphia,2015q2,Other Health Care,"HELIUS MEDICAL TECHNOLOGIES, INC.",0001610853,"SUITE 400, 41 UNIVERSITY DRIVE",newtown,PA,18940,Corporation,WYOMING,0001062993-15-002445
baltimore,2015q2,Other Health Care,"Redfish Holdings, Inc.",0001637944,"6030 Daybreak Circle, Suite 150, MS108",clarksville,MD,21029,Corporation,MARYLAND,0001104659-15-035259
dallas,2015q2,Other Health Care,"Accurate Toxicology, LLC",0001641323,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001641323-15-000001
philadelphia,2015q2,Other Health Care,"Solace Lifesciences, Inc.",0001502380,501 Silverside Road #7,wilmington,DE,19809,Corporation,DELAWARE,0001502380-15-000002
dallas,2015q2,Biotechnology,"NURO, INC.",0001638919,17217 WATERVIEW PARKWAY,dallas,TX,75252,Corporation,NEVADA,0001076542-15-000080
atlanta,2015q2,Other Health Care,Q CARE INTERNATIONAL LLC,0001034485,680 ATLANTA COUNTRY CLUB DR,marietta,GA,30067,Limited Liability Company,GEORGIA,0001034485-15-000002
atlanta,2015q2,Other Health Care,FEMASYS INC,0001339005,5000 RESEARCH COURT,suwanee,GA,30024,Corporation,DELAWARE,0000945621-15-000158
philadelphia,2015q2,Pharmaceuticals,"Alexar Therapeutics, Inc.",0001596494,101 LINDENWOOD DRIVE,malvern,PA,19355,Corporation,DELAWARE,0001596494-15-000001
dallas,2015q2,Other Health Care,Ideal Implant Inc,0001360739,5005 LBJ Freeway,dallas,TX,75244,Corporation,TEXAS,0001360739-15-000001
